,Hotel_Name,Average_Score,count
668,Park Plaza Victoria London,8.6,1443
669,Hotel City Central,8.6,563
670,Petit Palace Museum,8.6,341
671,Park Inn by Radisson Uno City Vienna,8.6,361
672,Jumeirah Carlton Tower,8.6,76
673,FourSide Hotel Suites Vienna,8.6,110
674,Jumeirah Lowndes Hotel,8.6,184
675,K K Palais Hotel,8.6,228
676,Franklin Roosevelt,8.6,88
677,Golden Tulip Opera de Noailles,8.6,154
678,Pullman Barcelona Skipper,8.6,278
679,Pakat Suites Hotel,8.6,88
680,Hotel Regina,8.5,590
681,Mercure Vaugirard Paris Porte De Versailles,8.5,106
682,Mercure Secession Wien,8.5,103
683,Petit Palace Boqueria Garden,8.5,786
684,Renaissance Paris Republique Hotel Spa,8.5,13
685,Vincci Bit,8.5,411
686,InterContinental London Park Lane,8.5,160
687,Mercure London Bridge,8.5,414
688,W Barcelona,8.5,575
689,Hotel Plaza Elys es,8.5,105
690,Mandarin Oriental Hyde Park London,8.5,85
691,Roger de Ll ria,8.5,128
692,Petit Palais Hotel De Charme,8.5,69
693,WestCord Art Hotel Amsterdam 4 stars,8.5,467
694,Rochester Champs Elysees,8.5,149
695,UNA Hotel Scandinavia,8.5,68
696,Mercure Hotel Raphael Wien,8.5,151
697,Plaza Tour Eiffel,8.5,67
698,Hotel de France Wien,8.5,956
699,London Marriott Hotel County Hall,8.5,233
700,Windsor Hotel Milano,8.5,435
701,Uptown Palace,8.5,448
702,Kingsway Hall Hotel,8.5,683
703,Hotel Sanpi Milano,8.5,153
704,IntercityHotel Wien,8.5,410
705,Novotel Paris Gare De Lyon,8.5,566
706,Swiss tel Amsterdam,8.5,830
707,Starhotels Tourist,8.5,232
708,The Mandeville Hotel,8.5,846
709,Novotel London Paddington,8.5,391
710,Novotel London Excel,8.5,574
711,La Tremoille Paris,8.5,76
712,K K Hotel George,8.5,566
713,Sofitel Paris Le Faubourg,8.5,137
714,Napoleon Paris,8.5,234
715,Hotel Wandl,8.5,312
716,The Rembrandt,8.5,712
717,Le 7 Eiffel Hotel,8.5,76
718,Simm s Hotel,8.5,92
719,Silken Gran Hotel Havana,8.5,285
720,Hotel Square,8.5,28
721,Seven Hotel,8.5,48
722,Le Marcel,8.5,72
723,The Sumner Hotel,8.5,266
724,Sercotel Amister Art Hotel Barcelona,8.5,80
725,JUFA Hotel Wien,8.5,431
726,Thistle Holborn The Kingsley,8.5,709
727,Pestana Arena Barcelona,8.5,142
728,The Westin Palace,8.5,178
729,pentahotel Vienna,8.5,129
730,Eurostars Grand Marina Hotel GL,8.5,1082
731,Ayre Hotel Caspe,8.5,595
732,H10 London Waterloo,8.5,484
733,Amba Hotel Marble Arch,8.5,1262
734,Hotel Arkadenhof,8.5,28
735,Hotel 55,8.5,385
736,Hampshire Hotel Amsterdam American,8.5,1242
737,Gran Hotel Torre Catalunya,8.5,382
738,Goodenough Club,8.5,466
739,Acta Atrium Palace,8.5,458
740,Hotel Le Saint Gregoire,8.5,20
741,H tel Powers,8.5,237
742,Apollofirst Boutique Hotel,8.5,372
743,Golden Tulip Amsterdam West,8.5,1686
744,Blakemore Hyde Park,8.5,2178
745,Holiday Inn London Whitechapel,8.5,377
746,Best Western Plus Hotel Galles,8.5,613
747,Garden Elys e,8.5,75
748,H tel Mayfair Paris,8.5,51
749,Cram,8.5,159
750,Crowne Plaza London Ealing,8.5,413
751,Hotel Johann Strauss,8.5,110
752,Hotel Imlauer Wien,8.5,156
753,Antares Hotel Rubens,8.5,113
754,Hotel Gran Derby Suites,8.5,75
755,Crowne Plaza Milan City,8.5,157
756,Acca Palace,8.5,209
757,Fleming s Conference Hotel Wien,8.5,247
758,Hotel Eden,8.5,70
759,Best Western Le Jardin de Cluny,8.5,120
760,H10 Universitat,8.5,280
761,Hotel Balmes,8.5,210
762,Enterprise Hotel Design Boutique,8.5,236
763,Hotel Montalembert,8.5,44
764,Bcn Urban Hotels Gran Rosellon,8.5,398
765,Grange St Paul s Hotel,8.5,1154
766,Austria Trend Hotel Astoria Wien,8.5,423
767,DoubleTree by Hilton London Westminster,8.5,1243
768,Austria Trend Hotel Rathauspark Wien,8.5,330
769,Hotel Corvinus,8.5,108
770,Clayton Hotel Chiswick,8.5,922
771,Best Western Atlantic Hotel,8.5,306
772,Eccleston Square Hotel,8.5,172
773,H tel La Parizienne by Elegancia,8.5,124
774,Hotel Opera Cadet,8.5,65
775,Chateau Frontenac,8.5,188
776,Hotel Oscar,8.5,84
777,Hotel Cavour,8.5,400
778,AC Hotel Paris Porte Maillot by Marriott,8.5,75
779,Best Western Hotel Mirage,8.5,83
780,H tel De Sers Champs Elys es Paris,8.5,80
781,Hotel Daniel Vienna,8.5,245
782,H tel France d Antin Op ra,8.5,30
783,H tel Waldorf Trocad ro,8.5,74
784,Grange Buckingham Hotel,8.5,49
785,Club Quarters Hotel Trafalgar Square,8.5,945
786,H tel Horset Op ra Best Western Premier Collection,8.5,199
787,Amadi Panorama Hotel,8.4,481
788,Trinit Haussmann,8.4,61
789,Antares Hotel Accademia,8.4,30
790,Timhotel Op ra Blanche Fontaine,8.4,93
791,Eurostars Embassy,8.4,154
792,Hotel Astra Opera Astotel,8.4,34
793,NH Milano Touring,8.4,646
794,Holiday Inn Amsterdam Arena Towers,8.4,282
795,Hotel Barcelona Center,8.4,254
796,Park Plaza County Hall London,8.4,2223
797,Barcel Raval,8.4,552
798,TownHouse Duomo,8.4,68
799,Banke H tel,8.4,159
800,Portobello House,8.4,131
801,BEST WESTERN PLUS Amedia Wien,8.4,419
802,NH Danube City,8.4,224
803,Park Grand London Kensington,8.4,2059
804,Georgian House Hotel,8.4,328
805,Thistle Trafalgar Square The Royal Trafalgar,8.4,467
806,The Exhibitionist Hotel,8.4,804
807,Mercure Grand Hotel Biedermeier Wien,8.4,159
808,H tel des Champs Elys es,8.4,183
809,H tel Westminster,8.4,313
810,Arthotel ANA Prime,8.4,306
811,Grange Holborn Hotel,8.4,361
812,The Grosvenor,8.4,1517
813,Novotel Barcelona City,8.4,274
814,Mercure Paris Alesia,8.4,74
815,NH Milano Machiavelli,8.4,180
816,Mercure Paris Bercy Biblioth que,8.4,125
817,Best Western Hotel City,8.4,173
818,Mercure Paris Montmartre Sacr Coeur,8.4,269
819,Grupotel Gran Via 678,8.4,340
820,NH Wien City,8.4,231
821,Avenida Palace,8.4,807
822,Melia Paris Vendome,8.4,51
823,Melia Barcelona Sky 4 Sup,8.4,44
824,Lindner Hotel Am Belvedere,8.4,84
825,Novotel Paris Les Halles,8.4,523
826,Best Western Premier Hotel Dante,8.4,199
827,Hilton Vienna Danube Waterfront,8.4,426
828,Best Western Premier Faubourg 88,8.4,179
829,Hilton Paris Opera,8.4,109
830,Best Western Plus Hotel Felice Casati,8.4,302
831,Duret,8.4,38
832,M venpick Hotel Amsterdam City Centre,8.4,520
833,Madeleine Plaza,8.4,138
834,Maison Albar H tel Paris Champs Elys es ex Mac Mahon ,8.4,159
835,Arbor Hyde Park,8.4,826
836,Hampton by Hilton Amsterdam Centre East,8.4,362
837,Best Western Madison Hotel,8.4,376
838,Arioso,8.4,38
839,Maxim Op ra,8.4,35
840,The Waldorf Hilton,8.4,800
841,K West Hotel Spa,8.4,762
842,NH Wien Belvedere,8.4,199
843,K K H tel Cayr Saint Germain des Pr s,8.4,326
844,Hotel Sezz Paris,8.4,24
845,Hotel Louvre Montana,8.4,66
846,Hotel Mercure Milano Centro,8.4,78
847,Catalonia Barcelona Plaza,8.4,932
848,Dikker en Thijs Fenice Hotel,8.4,543
849,DoubleTree By Hilton London Excel,8.4,1464
850,DoubleTree by Hilton Amsterdam Centraal Station,8.4,1254
851,Sansi Pedralbes,8.4,30
852,Hotel Dei Cavalieri,8.4,607
853,W Amsterdam,8.4,214
854,DoubleTree by Hilton London Hyde Park,8.4,945
855,W London Leicester Square,8.4,267
856,Boundary Rooms Suites,8.4,12
857,Hotel Michelangelo,8.4,629
858,Cordial Theaterhotel Wien,8.4,57
859,DoubleTree by Hilton London Ealing,8.4,680
860,Hotel Silver,8.4,26
861,Hotel Mediolanum,8.4,120
862,Residence Du Roy,8.4,222
863,Waldorf Madeleine,8.4,281
864,Hotel Louis 2,8.4,55
865,Hotel Manin,8.4,224
866,NH Collection Amsterdam Grand Hotel Krasnapolsky,8.4,1243
867,Renaissance Paris Arc de Triomphe Hotel,8.4,48
868,Hotel Mailberger Hof,8.4,338
869,Club Quarters Hotel St Paul s,8.4,1606
870,The Levante Parliament A Design Hotel,8.4,355
871,Hotel La Spezia Gruppo MiniHotel,8.4,33
872,Catalonia La Pedrera,8.4,155
873,88 Studios,8.4,459
874,Boutique Hotel Notting Hill,8.4,657
875,Vienna Sporthotel,8.4,63
876,Hotel ViennArt am Museumsquartier,8.4,458
877,Hotel OFF Paris Seine,8.4,79
878,Hotel Le Placide Saint Germain Des Pr s,8.4,24
879,Hotel Pulitzer Paris,8.4,200
880,Monhotel Lounge SPA,8.4,35
881,DoubleTree by Hilton London Victoria,8.4,1063
882,Corendon Vitality Hotel Amsterdam,8.4,941
883,Hotel Regina,8.4,344
884,Hotel du Vin Cannizaro House Wimbledon,8.4,289
885,Courtyard by Marriott Amsterdam Arena Atlas,8.4,347
886,Radisson Blu Style Hotel Vienna,8.4,249
887,The May Fair Hotel,8.4,800
888,Bentley London,8.4,198
889,H tel F licien by Elegancia,8.4,66
890,Royal Ramblas,8.4,722
891,Ramada Plaza Milano,8.4,346
892,Villa Opera Drouot,8.4,96
893,HCC St Moritz,8.3,103
894,The Victoria,8.3,162
895,Hotel Tour d Auvergne Opera,8.3,25
896,Hilton Garden Inn Milan North,8.3,440
897,Brunelleschi Hotel,8.3,544
898,H tel Diva Opera,8.3,233
899,Windsor Opera,8.3,34
900,Hotel Le Squara,8.3,122
901,Hampshire Hotel The Manor Amsterdam,8.3,458
902,Hilton Amsterdam,8.3,279
903,The College Hotel,8.3,153
904,Novotel London West,8.3,1283
905,Meli Milano,8.3,107
906,Arthotel ANA Westbahn,8.3,67
907,Mercure Paris Pigalle Sacre Coeur,8.3,65
908,Hotel Prinz Eugen,8.3,511
909,Austria Trend Hotel Schloss Wilhelminenberg Wien,8.3,194
910,The Justin James Hotel,8.3,260
911,Sina The Gray,8.3,93
912,Austria Trend Hotel Bosei Wien,8.3,391
913,Hotel Roemer Amsterdam,8.3,268
914,AC Hotel Milano a Marriott Lifestyle Hotel,8.3,72
915,Mercure Tour Eiffel Grenelle,8.3,39
916,Sofitel Paris Baltimore Tour Eiffel,8.3,123
917,Catalonia Eixample 1864,8.3,428
918,Hotel Mercure Milano Solari,8.3,80
919,Hotel Mercure La Sorbonne Saint Germain des Pr s,8.3,80
920,Grand Hotel Amr th Amsterdam,8.3,530
921,Mercure London Bloomsbury Hotel,8.3,602
922,Mercure Josefshof Wien,8.3,416
923,Colombia,8.3,150
924,Grange Blooms Hotel,8.3,173
925,The Grand at Trafalgar Square,8.3,733
926,ADI Doria Grand Hotel,8.3,147
927,Novotel Paris 14 Porte d Orl ans,8.3,27
928,Melia White House Hotel,8.3,656
929,Novotel Paris Centre Bercy,8.3,171
930,H tel Cristal Champs Elys es,8.3,127
931,Hotel Marconi,8.3,256
932,Melia Paris Champs Elys es,8.3,15
933,Mercure Wien Zentrum,8.3,152
934,Thistle Euston,8.3,1214
935,Aparthotel Mariano Cubi Barcelona,8.3,91
936,Vincci Maritimo,8.3,343
937,Rathbone,8.3,354
938,Lancaster London,8.3,651
939,Eurostars Monumental,8.3,212
940,Barcelona Princess,8.3,897
941,Hotel Ambassador,8.3,236
942,Mimi s Hotel Soho,8.3,390
943,Hotel Advance,8.3,28
944,Falkensteiner Hotel Wien Zentrum Schottenfeld,8.3,95
945,Le Belmont Champs Elys es,8.3,83
946,Amsterdam Canal Residence,8.3,67
947,H tel Balzac,8.3,166
948,Andreola Central Hotel,8.3,200
949,Twenty Nevern Square Hotel,8.3,776
950,Bermondsey Square Hotel A Bespoke Hotel,8.3,399
951,Alexandra Barcelona A DoubleTree by Hilton,8.3,77
952,Am Spiegeln,8.3,21
953,Bassano,8.3,100
954,Eurostars Bcn Design,8.3,272
955,Hotel Balmoral,8.3,140
956,Eurostars Angli,8.3,77
957,LHP Hotel Napoleon,8.3,81
958,Bilderberg Hotel Jan Luyken,8.3,366
959,Vice Versa,8.3,59
960,Etoile Saint Ferdinand,8.3,99
961,Victoria Palace Hotel,8.3,24
962,Klima Hotel Milano Fiere,8.3,109
963,DoubleTree by Hilton London West End,8.3,926
964,H tel Belloy Saint Germain By Happyculture,8.3,82
965,Radisson Blu Edwardian Grafton,8.3,1354
966,Hotel Cambon,8.3,55
967,Hotel Capitol Milano,8.3,66
968,Golden Tulip Washington Opera,8.3,102
969,Park Plaza London Riverbank,8.3,2167
970,Holiday Inn Paris Notre Dame,8.3,301
971,Timhotel Op ra Grands Magasins,8.3,79
972,Hotel Vilamar ,8.3,173
973,STRAF a Member of Design Hotels ,8.3,246
974,The Park City Grand Plaza Kensington Hotel,8.3,235
975,London Marriott Hotel Regents Park,8.3,752
976,Courtyard by Marriott Vienna Schoenbrunn,8.3,94
977,R Kipling by Happyculture,8.3,84
978,Hotel Grums Barcelona,8.3,265
979,Hotel Eug ne en Ville,8.3,191
980,Hotel degli Arcimboldi,8.3,1118
981,Best Western Premier Le Swann,8.3,91
982,Best Western Premier Marais Grands Boulevards,8.3,232
983,Holiday Inn Paris Montmartre,8.3,55
984,Hotel du Louvre in the Unbound Collection by Hyatt,8.3,286
985,Park Hotel,8.3,636
986,Le Senat,8.3,120
987,Fleming s Selection Hotel Wien City,8.3,658
988,TownHouse Galleria,8.3,153
989,Le Meridien Vienna,8.3,508
990,Le Metropolitan a Tribute Portfolio Hotel,8.3,66
991,Holiday Inn Paris Gare de Lyon Bastille,8.3,395
992,DoubleTree by Hilton London Chelsea,8.3,550
993,Holiday Inn Milan Garibaldi Station,8.3,49
994,Staunton Hotel B B,8.3,248
995,Le Relais M dicis,8.3,30
996,Holiday Inn London Wembley,8.3,1848
997,First Hotel Paris Tour Eiffel,8.3,72
998,Fairmont Rey Juan Carlos I,8.3,197
999,NH London Kensington,8.2,225
1000,NH City Centre Amsterdam,8.2,778
1001,NH Hesperia Barcelona del Mar,8.2,139
1002,NH Milano Palazzo Moscova,8.2,109
1003,NH Milano Grand Hotel Verdi,8.2,177
1004,H tel California Champs Elys es,8.2,275
1005,Mercure Paris Montparnasse Raspail,8.2,79
1006,NH Sants Barcelona,8.2,107
1007,Eurostars Cristal Palace,8.2,385
1008,Qualys Hotel Nasco,8.2,206
1009,Radisson Blu Edwardian Kenilworth,8.2,942
1010,Radisson Blu Edwardian Vanderbilt,8.2,1298
1011,Radisson Blu Hotel Milan,8.2,223
1012,Rainers Hotel Vienna,8.2,210
1013,Ramada Apollo Amsterdam Centre,8.2,1704
1014,DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,8.2,312
1015,De Vere Devonport House,8.2,1130
1016,Caesar Hotel,8.2,317
1017,Carlyle Brera Hotel,8.2,233
1018,Catalonia Barcelona 505,8.2,130
1019,Silken Concordia,8.2,158
1020,Club Quarters Hotel Gracechurch,8.2,1103
1021,Club Hotel Cortina,8.2,64
1022,Sina De La Ville,8.2,273
1023,Elys es R gencia,8.2,276
1024,Eurostars Ramblas,8.2,372
1025,The Leonard Hotel,8.2,435
1026,Evenia Rossello,8.2,87
1027,Grange Rochester Hotel,8.2,364
1028,Nottingham Place Hotel,8.2,247
1029,Novotel London Waterloo,8.2,287
1030,Occidental Atenea Mar Adults Only,8.2,483
1031,Oceania Paris Porte De Versailles,8.2,273
1032,The Cleveland,8.2,289
1033,Gardette Park Hotel,8.2,179
1034,Four Points Sheraton Milan Center,8.2,136
1035,Fifty Four Boutique Hotel,8.2,310
1036,TH Street Duomo,8.2,33
1037,Park Plaza Sherlock Holmes London,8.2,592
1038,Sunotel Club Central,8.2,401
1039,Sunotel Central,8.2,640
1040,Pershing Hall,8.2,14
1041,Suites H tel Helzear Champs Elys es,8.2,227
1042,The Lodge Hotel Putney,8.2,297
1043,Sloane Square Hotel,8.2,462
1044,UNA Hotel Mediterraneo,8.2,73
1045,The Westbury A Luxury Collection Hotel Mayfair London,8.2,289
1046,Hilton London Paddington,8.2,1167
1047,Innkeeper s Lodge London Greenwich,8.2,664
1048,Albus Hotel Amsterdam City Centre,8.2,194
1049,W Paris Op ra,8.2,40
1050,Apollo Hotel Amsterdam,8.2,803
1051,Hotel Duminy Vendome,8.2,150
1052,Hotel Eitlj rg,8.2,12
1053,Atala Champs Elys es,8.2,29
1054,Hotel G tico,8.2,25
1055,H10 Marina Barcelona,8.2,318
1056,H10 Itaca,8.2,125
1057,Abba Sants,8.2,120
1058,Mercure Hotel Amsterdam Centre Canal District,8.2,258
1059,Mercure Hotel Amsterdam City South,8.2,801
1060,Inntel Hotels Amsterdam Centre,8.2,871
1061,Hilton Milan,8.2,233
1062,London Marriott Hotel Marble Arch,8.2,480
1063,Vilana Hotel,8.2,62
1064,Thistle Kensington Gardens,8.2,862
1065,Little Palace Hotel,8.2,303
1066,Holiday Inn London Bloomsbury,8.2,1216
1067,Vienna Marriott Hotel,8.2,207
1068,Leonardo Hotel Milan City Center,8.2,135
1069,Holiday Inn London Regent s Park,8.2,826
1070,Kensington House Hotel,8.2,269
1071,L Edmond H tel,8.2,20
1072,TownHouse 33,8.2,59
1073,Holiday Inn Paris Op ra Grands Boulevards,8.2,110
1074,L Hotel Pergol se Paris,8.2,195
1075,Le M ridien Barcelona,8.2,118
1076,Hotel Auriga,8.2,258
1077,Arthotel ANA Boutique Six,8.2,390
1078,Hotel Am Schubertring,8.2,285
1079,Montfleuri,8.2,228
1080,Hotel Trianon Rive Gauche,8.2,218
1081,H tel Le M,8.2,131
1082,The Queens Gate Hotel,8.2,1103
1083,Millennium Copthorne Hotels at Chelsea Football Club,8.2,877
1084,Hotel SB Diagonal Zero Barcelona 4 Sup,8.2,846
1085,ADI Hotel Poliziano Fiera,8.2,107
1086,Hotel Mercure Wien City,8.2,129
1087,H tel Etoile Saint Honor by Happyculture,8.2,152
1088,ARCOTEL Wimberger,8.2,149
1089,AZIMUT Hotel Vienna,8.2,166
1090,Hotel Les Th tres,8.2,123
1091,The Park Tower Knightsbridge a Luxury Collection Hotel,8.2,275
1092,My Chelsea,8.2,418
1093,Austria Trend Hotel Ananas Wien,8.2,546
1094,Hotel Les Bulles De Paris,8.2,159
1095,NH Amsterdam Noord,8.2,143
1096,Hotel Le Chat Noir,8.2,129
1097,Amadi Park Hotel,8.1,396
1098,Hotel D Este,8.1,98
1099,InterContinental Wien,8.1,142
1100,NH Barcelona Stadium,8.1,176
1101,Hotel Claridge Paris,8.1,187
1102,Sheraton Grand London Park Lane,8.1,115
1103,Hotel Ciutadella Barcelona,8.1,93
1104,Radisson Blu Edwardian Berkshire,8.1,555
1105,Bilderberg Garden Hotel,8.1,567
1106,La Villa Royale,8.1,76
1107,Durrants Hotel,8.1,726
1108,Hotel Montaigne,8.1,89
1109,Karma Sanctum Soho Hotel,8.1,193
1110,Hotel Raffaello,8.1,81
1111,Pullman Paris Montparnasse,8.1,266
1112,Strand Palace Hotel,8.1,4256
1113,Hotel Rekord,8.1,58
1114,Hotel Bellevue Wien,8.1,45
1115,Hotel Boltzmann,8.1,70
1116,Hotel Nestroy Wien,8.1,95
1117,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel,8.1,289
1118,Rydges Kensington Hotel,8.1,496
1119,Zenit Barcelona,8.1,79
1120,Shaftesbury Suites London Marble Arch,8.1,289
1121,Hotel du Collectionneur Arc de Triomphe,8.1,337
1122,Hotel Vittoria,8.1,88
1123,Starhotels Business Palace,8.1,504
1124,Starhotels Ritz,8.1,653
1125,Hotel Vienna,8.1,135
1126,Crowne Plaza London Kings Cross,8.1,1007
1127,Roomz Vienna,8.1,49
1128,Danubius Hotel Regents Park,8.1,593
1129,Das Triest Hotel,8.1,42
1130,Warwick Paris Former Warwick Champs Elysees ,8.1,411
1131,Hotel Alimara,8.1,195
1132,Hotel des Tuileries Relais du Silence,8.1,91
1133,Copthorne Tara Hotel London Kensington,8.1,3577
1134,DoubleTree by Hilton Hotel London Marble Arch,8.1,425
1135,Hotel Da Vinci,8.1,1876
1136,Renaissance Paris Le Parc Trocadero Hotel,8.1,26
1137,Hotel Dieci,8.1,50
1138,DoubleTree by Hilton London Docklands Riverside,8.1,2147
1139,Senator Hotel Vienna,8.1,240
1140,Comfort Inn Suites Kings Cross St Pancras,8.1,442
1141,Acta CITY47,8.1,381
1142,Villa Panth on,8.1,276
1143,Villa Beaumarchais,8.1,295
1144,Imperial Riding School Renaissance Vienna Hotel,8.1,267
1145,Hotel Serhs Rivoli Rambla,8.1,357
1146,Westside Arc de Triomphe Hotel,8.1,293
1147,Catalonia Diagonal Centro,8.1,246
1148,DoubleTree By Hilton Milan,8.1,41
1149,The Marble Arch London,8.1,561
1150,Pertschy Palais Hotel,8.1,293
1151,FourSide Hotel Vienna City Center,8.1,173
1152,Op ra Marigny,8.1,115
1153,Onix Liceo,8.1,240
1154,London Marriott Maida Vale,8.1,451
1155,Mercure Paris Opera Garnier,8.1,90
1156,Aparthotel Adagio Vienna City,8.1,312
1157,Good Hotel London,8.1,541
1158,The Westin Paris Vend me,8.1,111
1159,Austria Trend Hotel Lassalle Wien,8.1,148
1160,Hilton Garden Inn Vienna South,8.1,20
1161,Hilton Barcelona,8.1,45
1162,Novotel Wien City,8.1,270
1163,Best Western Nouvel Orl ans Montparnasse,8.1,174
1164,Arion Cityhotel Vienna und Appartements,8.1,464
1165,HCC Regente,8.1,72
1166,Melia Barcelona Sarri ,8.1,107
1167,Melia Paris Tour Eiffel,8.1,53
1168,Amsterdam Marriott Hotel,8.1,389
1169,Best Western Hotel Major,8.1,73
1170,Novotel Paris Centre Gare Montparnasse,8.1,247
1171,The Trafalgar Hilton,8.1,363
1172,Mercure Paris Bastille Marais,8.1,34
1173,Attica 21 Barcelona Mar,8.1,168
1174,Best Western Hotel St George,8.1,273
1175,Atlantis Hotel Vienna,8.1,325
1176,Grange Clarendon Hotel,8.1,369
1177,Avo Hotel,8.1,166
1178,Mercure Paris Opera Louvre,8.1,94
1179,Holiday Inn London West,8.1,701
1180,Best Western Premier Op ra Faubourg Ex Hotel Jules ,8.1,323
1181,Suites H tel Helzear Montparnasse,8.1,78
1182,Tryp Barcelona Condal Mar Hotel,8.1,100
1183,Best Western Antares Hotel Concorde,8.1,119
1184,My Bloomsbury,8.1,463
1185,Holiday Inn Paris Saint Germain des Pr s,8.1,234
1186,H tel Jos phine by Happyculture,8.1,76
1187,H tel Beauchamps,8.1,289
1188,Barcel Milan,8.1,233
1189,Guitart Grand Passage,8.1,133
1190,TownHouse 12,8.1,64
1191,Park Grand Paddington Court,8.1,2288
1192,Grange Fitzrovia Hotel,8.1,455
1193,Leonardo Hotel Vienna,8.1,728
1194,Best Western Premier Louvre Saint Honor ,8.1,205
1195,Les Jardins Du Marais,8.1,156
1196,H tel Montmartre Mon Amour,8.1,63
1197,The Athenaeum,8.1,189
1198,Hotel Mozart,8.0,512
1199,NH Amsterdam Museum Quarter,8.0,239
1200,Royal Saint Michel,8.0,284
1201,Mercure Paris 15 Porte de Versailles,8.0,25
1202,Shaftesbury Hyde Park International,8.0,1029
1203,Clayton Crown Hotel London,8.0,1079
1204,The Principal London,8.0,1425
1205,Saint James Albany Paris Hotel Spa,8.0,700
1206,Courthouse Hotel London,8.0,867
1207,Hotel Spa Villa Olimpica Suites,8.0,519
1208,Hotel Vondel Amsterdam,8.0,522
1209,City Hotel Deutschmeister,8.0,93
1210,Zenit Borrell,8.0,84
1211,Hotel SB Icaria Barcelona,8.0,839
1212,Mercure Paris Opera Grands Boulevards,8.0,65
1213,Mercure Paris Centre Tour Eiffel,8.0,770
1214,AC Hotel Sants a Marriott Lifestyle Hotel,8.0,91
1215,Axel Hotel Barcelona Urban Spa Adults Only,8.0,602
1216,Shepherd s Bush Boutique Hotel,8.0,531
1217,Grange Strathmore Hotel,8.0,448
1218,Mercure Paris Notre Dame Saint Germain des Pr s,8.0,75
1219,Mercure Paris Tour Eiffel Pont Mirabeau,8.0,70
1220,Hotel Pension Baron am Schottentor,8.0,223
1221,Hotel Kavalier,8.0,307
1222,Eiffel Trocad ro,8.0,128
1223,Best Western Plus de Neuville Arc de Triomphe,8.0,71
1224,Radisson Blu Edwardian Sussex,8.0,573
1225,Hotel Crivi s,8.0,74
1226,Hilton Vienna,8.0,561
1227,Doubletree by Hilton London Kensington,8.0,1009
1228,Hotel Carrobbio,8.0,131
1229,Holiday Inn London Mayfair,8.0,647
1230,Hotel Bristol,8.0,73
1231,Gartenhotel Altmannsdorf Hotel 1,8.0,20
1232,Best Western Premier Trocadero La Tour,8.0,52
1233,Holiday Inn Paris Elys es,8.0,63
1234,Le M ridien Etoile,8.0,91
1235,La Suite West Hyde Park,8.0,292
1236,Park Plaza Victoria Amsterdam,8.0,1595
1237,Le Lavoisier,8.0,12
1238,Suite Hotel 900 m zur Oper,8.0,439
1239,Hotel Wagner,8.0,10
1240,London Marriott Hotel Kensington,8.0,189
1241,Rafayel Hotel Spa,8.0,774
1242,Atahotel Linea Uno,8.0,119
1243,TheWesley,8.0,1117
1244,Aparthotel Atenea Barcelona,8.0,178
1245,Hotel Derby,8.0,75
1246,Renaissance Amsterdam Hotel,8.0,532
1247,Hotel Die Port van Cleve,8.0,336
1248,Best Western Mornington Hotel Hyde Park,8.0,824
1249,Derag Livinghotel Kaiser Franz Joseph Vienna,8.0,147
1250,The Gates Diagonal Barcelona,8.0,287
1251,Crowne Plaza Paris R publique,8.0,212
1252,Novotel Milano Linate Aeroporto,8.0,189
1253,Blakes Hotel,8.0,76
1254,Mercure Barcelona Condor,8.0,46
1255,Boscolo Milano Autograph Collection,7.9,195
1256,Ambassadors Bloomsbury,7.9,768
1257,Abba Garden,7.9,125
1258,Best Western Tour Eiffel Invalides,7.9,74
1259,AC Hotel Irla a Marriott Lifestyle Hotel,7.9,16
1260,Best Western Palm Hotel,7.9,949
1261,Catalonia Atenas,7.9,1061
1262,Washington Mayfair Hotel,7.9,699
1263,Old Ship Inn Hackney,7.9,140
1264,Holiday Inn London Brent Cross,7.9,433
1265,Le Dokhan s a Tribute Portfolio Hotel,7.9,68
1266,Radisson Blu Portman Hotel London,7.9,868
1267,Dutch Design Hotel Artemis,7.9,432
1268,City Rooms,7.9,44
1269,Hilton Diagonal Mar Barcelona,7.9,140
1270,Petit Palace Barcelona,7.9,160
1271,Exe Laietana Palace,7.9,424
1272,Norfolk Towers Paddington,7.9,1531
1273,Paddington Court Executive Rooms,7.9,278
1274,Hotel Amsterdam De Roode Leeuw,7.9,170
1275,H tel Regina Op ra Grands Boulevards,7.9,44
1276,Renaissance Paris Vendome Hotel,7.9,14
1277,H tel Victor Hugo Paris Kl ber,7.9,48
1278,Grange Langham Court Hotel,7.9,296
1279,Mercure Paris 17 me Saint Lazare Monceau,7.9,19
1280,Mercure Paris Place d Italie,7.9,27
1281,Mercure Paris Arc de Triomphe Etoile,7.9,21
1282,Holiday Inn Paris Gare de l Est,7.9,1129
1283,Novotel Paris 17,7.9,101
1284,Mercure Paris Gare De Lyon TGV,7.9,411
1285,Mercure Paris Bastille Saint Antoine,7.9,22
1286,Paris Marriott Champs Elysees Hotel,7.9,94
1287,InterContinental Paris Avenue Marceau,7.9,45
1288,Ilunion Bel Art,7.9,50
1289,Ilunion Barcelona,7.9,620
1290,Hotel Parco di Sch nbrunn Vienna,7.9,59
1291,H tel Concorde Montparnasse,7.9,346
1292,Silken Ramblas,7.9,400
1293,Sheraton Diana Majestic,7.9,83
1294,Grosvenor House A JW Marriott Hotel,7.9,244
1295,NH Amsterdam Caransa,7.9,256
